"","monitoring_period","date","site","plot_id","treatment","replicate_number","tag_color","source_population","parent_number","observer","number_gravels_remaining","number_gravels_with_kelp","length_mm","holdfast_diameter_mm","urchins","notes","days_old","total_length_cm","parent_temp_days","site_temp_days","site_plot_id","site_replicate","transplant"
"634","fourth",2023-08-28,"cool","10C7","10C","7","green","cool","ten","Lauren Dykman",NA,0,NA,NA,11,"11 urchins; 25% Desmarestia","200",NA,"ten_cool_200","cool_cool_200","cool_10C7","cool_7","cool_cool"
"635","fourth",2023-08-28,"cool","10C7","10C","7","green","cool","ten","Lauren Dykman",NA,0,NA,NA,11,"11 urchins; 25% Desmarestia","200",NA,"ten_cool_200","cool_cool_200","cool_10C7","cool_7","cool_cool"
"636","fourth",2023-08-28,"cool","10W7","10W","7","red","warm","ten","Lauren Dykman",NA,0,NA,NA,7,"7 urchins","200",NA,"ten_warm_200","cool_warm_200","cool_10W7","cool_7","cool_warm"
"637","fourth",2023-08-28,"cool","10W7","10W","7","red","warm","ten","Lauren Dykman",NA,0,NA,NA,7,"7 urchins","200",NA,"ten_warm_200","cool_warm_200","cool_10W7","cool_7","cool_warm"
"638","fourth",2023-08-28,"cool","10W7","10W","7","red","warm","ten","Lauren Dykman",NA,0,NA,NA,7,"7 urchins","200",NA,"ten_warm_200","cool_warm_200","cool_10W7","cool_7","cool_warm"
"639","fourth",2023-08-28,"cool","10W7","10W","7","red","warm","ten","Lauren Dykman",NA,0,NA,NA,7,"7 urchins","200",NA,"ten_warm_200","cool_warm_200","cool_10W7","cool_7","cool_warm"
"640","fourth",2023-08-28,"cool","10W7","10W","7","red","warm","ten","Lauren Dykman",NA,0,NA,NA,7,"7 urchins","200",NA,"ten_warm_200","cool_warm_200","cool_10W7","cool_7","cool_warm"
"641","fourth",2023-08-28,"cool","2C7","2C","7","blue","cool","two","Lauren Dykman",NA,0,NA,NA,5,"5 urchins","200",NA,"two_cool_200","cool_cool_200","cool_2C7","cool_7","cool_cool"
"642","fourth",2023-08-28,"cool","2C7","2C","7","blue","cool","two","Lauren Dykman",NA,0,NA,NA,5,"5 urchins","200",NA,"two_cool_200","cool_cool_200","cool_2C7","cool_7","cool_cool"
"643","fourth",2023-08-28,"cool","2C7","2C","7","blue","cool","two","Lauren Dykman",NA,0,NA,NA,5,"5 urchins","200",NA,"two_cool_200","cool_cool_200","cool_2C7","cool_7","cool_cool"
"644","fourth",2023-08-28,"cool","2C7","2C","7","blue","cool","two","Lauren Dykman",NA,0,NA,NA,5,"5 urchins","200",NA,"two_cool_200","cool_cool_200","cool_2C7","cool_7","cool_cool"
"645","fourth",2023-08-28,"cool","2C7","2C","7","blue","cool","two","Lauren Dykman",NA,0,NA,NA,5,"5 urchins","200",NA,"two_cool_200","cool_cool_200","cool_2C7","cool_7","cool_cool"
"646","fourth",2023-08-28,"cool","2W7","2W","7","orange","warm","two","Lauren Dykman",NA,0,NA,NA,1,"1 urchin; lots of Desmarestia","200",NA,"two_warm_200","cool_warm_200","cool_2W7","cool_7","cool_warm"
"647","fourth",2023-08-28,"cool","2W7","2W","7","orange","warm","two","Lauren Dykman",NA,0,NA,NA,1,"1 urchin; lots of Desmarestia","200",NA,"two_warm_200","cool_warm_200","cool_2W7","cool_7","cool_warm"
"648","fourth",2023-08-28,"cool","2W7","2W","7","orange","warm","two","Lauren Dykman",NA,0,NA,NA,1,"1 urchin; lots of Desmarestia","200",NA,"two_warm_200","cool_warm_200","cool_2W7","cool_7","cool_warm"
"649","fourth",2023-08-28,"cool","2W7","2W","7","orange","warm","two","Lauren Dykman",NA,0,NA,NA,1,"1 urchin; lots of Desmarestia","200",NA,"two_warm_200","cool_warm_200","cool_2W7","cool_7","cool_warm"
"650","fourth",2023-08-28,"cool","2W7","2W","7","orange","warm","two","Lauren Dykman",NA,0,NA,NA,1,"1 urchin; lots of Desmarestia","200",NA,"two_warm_200","cool_warm_200","cool_2W7","cool_7","cool_warm"
"652","fourth",2023-08-28,"cool","10C8","10C","8","green","cool","ten","Lauren Dykman",NA,0,NA,NA,7,"7 urchins","200",NA,"ten_cool_200","cool_cool_200","cool_10C8","cool_8","cool_cool"
"653","fourth",2023-08-28,"cool","10C8","10C","8","green","cool","ten","Lauren Dykman",NA,0,NA,NA,7,"7 urchins","200",NA,"ten_cool_200","cool_cool_200","cool_10C8","cool_8","cool_cool"
"654","fourth",2023-08-28,"cool","10C8","10C","8","green","cool","ten","Lauren Dykman",NA,0,NA,NA,7,"7 urchins","200",NA,"ten_cool_200","cool_cool_200","cool_10C8","cool_8","cool_cool"
"655","fourth",2023-08-28,"cool","10C8","10C","8","green","cool","ten","Lauren Dykman",NA,0,NA,NA,7,"7 urchins","200",NA,"ten_cool_200","cool_cool_200","cool_10C8","cool_8","cool_cool"
"656","fourth",2023-08-28,"cool","10C8","10C","8","green","cool","ten","Lauren Dykman",NA,0,NA,NA,7,"7 urchins","200",NA,"ten_cool_200","cool_cool_200","cool_10C8","cool_8","cool_cool"
"657","fourth",2023-08-28,"cool","10W8","10W","8","red","warm","ten","Lauren Dykman",NA,0,NA,NA,2,"2 urchins","200",NA,"ten_warm_200","cool_warm_200","cool_10W8","cool_8","cool_warm"
"658","fourth",2023-08-28,"cool","10W8","10W","8","red","warm","ten","Lauren Dykman",NA,0,NA,NA,2,"2 urchins","200",NA,"ten_warm_200","cool_warm_200","cool_10W8","cool_8","cool_warm"
"659","fourth",2023-08-28,"cool","10W8","10W","8","red","warm","ten","Lauren Dykman",NA,0,NA,NA,2,"2 urchins","200",NA,"ten_warm_200","cool_warm_200","cool_10W8","cool_8","cool_warm"
"660","fourth",2023-08-28,"cool","10W8","10W","8","red","warm","ten","Lauren Dykman",NA,0,NA,NA,2,"2 urchins","200",NA,"ten_warm_200","cool_warm_200","cool_10W8","cool_8","cool_warm"
"661","fourth",2023-08-28,"cool","10W8","10W","8","red","warm","ten","Lauren Dykman",NA,0,NA,NA,2,"2 urchins","200",NA,"ten_warm_200","cool_warm_200","cool_10W8","cool_8","cool_warm"
"662","fourth",2023-08-28,"cool","2C8","2C","8","blue","cool","two","Lauren Dykman",NA,0,NA,NA,10,"10 urchins","200",NA,"two_cool_200","cool_cool_200","cool_2C8","cool_8","cool_cool"
"663","fourth",2023-08-28,"cool","2C8","2C","8","blue","cool","two","Lauren Dykman",NA,0,NA,NA,10,"10 urchins","200",NA,"two_cool_200","cool_cool_200","cool_2C8","cool_8","cool_cool"
"664","fourth",2023-08-28,"cool","2C8","2C","8","blue","cool","two","Lauren Dykman",NA,0,NA,NA,10,"10 urchins","200",NA,"two_cool_200","cool_cool_200","cool_2C8","cool_8","cool_cool"
"665","fourth",2023-08-28,"cool","2C8","2C","8","blue","cool","two","Lauren Dykman",NA,0,NA,NA,10,"10 urchins","200",NA,"two_cool_200","cool_cool_200","cool_2C8","cool_8","cool_cool"
"666","fourth",2023-08-28,"cool","2C8","2C","8","blue","cool","two","Lauren Dykman",NA,0,NA,NA,10,"10 urchins","200",NA,"two_cool_200","cool_cool_200","cool_2C8","cool_8","cool_cool"
"667","fourth",2023-08-28,"cool","2W8","2W","8","orange","warm","two","Lauren Dykman",NA,0,NA,NA,6,"6 urchins","200",NA,"two_warm_200","cool_warm_200","cool_2W8","cool_8","cool_warm"
"668","fourth",2023-08-28,"cool","2W8","2W","8","orange","warm","two","Lauren Dykman",NA,0,NA,NA,6,"6 urchins","200",NA,"two_warm_200","cool_warm_200","cool_2W8","cool_8","cool_warm"
"669","fourth",2023-08-28,"cool","2W8","2W","8","orange","warm","two","Lauren Dykman",NA,0,NA,NA,6,"6 urchins","200",NA,"two_warm_200","cool_warm_200","cool_2W8","cool_8","cool_warm"
"670","fourth",2023-08-28,"cool","2W8","2W","8","orange","warm","two","Lauren Dykman",NA,0,NA,NA,6,"6 urchins","200",NA,"two_warm_200","cool_warm_200","cool_2W8","cool_8","cool_warm"
"671","fourth",2023-08-28,"cool","2W8","2W","8","orange","warm","two","Lauren Dykman",NA,0,NA,NA,6,"6 urchins","200",NA,"two_warm_200","cool_warm_200","cool_2W8","cool_8","cool_warm"
"673","second",2023-05-17,"warm","10C1","10C","1","green","cool","ten","Lauren Dykman",17,7,65,NA,0,"0 urchins. One outside plot moved back in.","100",6.5,"ten_cool_100","warm_cool_100","warm_10C1","warm_1","warm_cool"
"674","second",2023-05-17,"warm","10C1","10C","1","green","cool","ten","Lauren Dykman",17,7,80,12,0,"0 urchins. One outside plot moved back in.","100",8,"ten_cool_100","warm_cool_100","warm_10C1","warm_1","warm_cool"
"675","second",2023-05-17,"warm","10C1","10C","1","green","cool","ten","Lauren Dykman",17,7,110,8,0,"0 urchins. One outside plot moved back in.","100",11,"ten_cool_100","warm_cool_100","warm_10C1","warm_1","warm_cool"
"676","second",2023-05-17,"warm","10C1","10C","1","green","cool","ten","Lauren Dykman",17,7,395,25,0,"0 urchins. One outside plot moved back in.","100",39.5,"ten_cool_100","warm_cool_100","warm_10C1","warm_1","warm_cool"
"677","second",2023-05-17,"warm","10C1","10C","1","green","cool","ten","Lauren Dykman",17,7,560,50,0,"0 urchins. One outside plot moved back in.","100",56,"ten_cool_100","warm_cool_100","warm_10C1","warm_1","warm_cool"
"678","second",2023-05-17,"warm","10W1","10W","1","red","warm","ten","Lauren Dykman",13,2,480,NA,0,"","100",48,"ten_warm_100","warm_warm_100","warm_10W1","warm_1","warm_warm"
"679","second",2023-05-17,"warm","10W1","10W","1","red","warm","ten","Lauren Dykman",13,2,490,NA,0,"","100",49,"ten_warm_100","warm_warm_100","warm_10W1","warm_1","warm_warm"
"680","second",2023-05-17,"warm","10W1","10W","1","red","warm","ten","Lauren Dykman",13,2,NA,NA,0,"","100",NA,"ten_warm_100","warm_warm_100","warm_10W1","warm_1","warm_warm"
"681","second",2023-05-17,"warm","10W1","10W","1","red","warm","ten","Lauren Dykman",13,2,NA,NA,0,"","100",NA,"ten_warm_100","warm_warm_100","warm_10W1","warm_1","warm_warm"
"682","second",2023-05-17,"warm","10W1","10W","1","red","warm","ten","Lauren Dykman",13,2,NA,NA,0,"","100",NA,"ten_warm_100","warm_warm_100","warm_10W1","warm_1","warm_warm"
"683","second",2023-05-17,"warm","2C1","2C","1","blue","cool","two","Carolyn McKinnon",16,1,973,56,0,"0 urchins.","100",97.3,"two_cool_100","warm_cool_100","warm_2C1","warm_1","warm_cool"
"684","second",2023-05-17,"warm","2C1","2C","1","blue","cool","two","Carolyn McKinnon",16,1,NA,NA,0,"0 urchins.","100",NA,"two_cool_100","warm_cool_100","warm_2C1","warm_1","warm_cool"
"685","second",2023-05-17,"warm","2C1","2C","1","blue","cool","two","Carolyn McKinnon",16,1,NA,NA,0,"0 urchins.","100",NA,"two_cool_100","warm_cool_100","warm_2C1","warm_1","warm_cool"
"686","second",2023-05-17,"warm","2C1","2C","1","blue","cool","two","Carolyn McKinnon",16,1,NA,NA,0,"0 urchins.","100",NA,"two_cool_100","warm_cool_100","warm_2C1","warm_1","warm_cool"
"687","second",2023-05-17,"warm","2C1","2C","1","blue","cool","two","Carolyn McKinnon",16,1,NA,NA,0,"0 urchins.","100",NA,"two_cool_100","warm_cool_100","warm_2C1","warm_1","warm_cool"
"688","second",2023-05-17,"warm","2W1","2W","1","orange","warm","two","Carolyn McKinnon",15,6,317,15,0,"In a kelp forest. 0 urchins.","100",31.7,"two_warm_100","warm_warm_100","warm_2W1","warm_1","warm_warm"
"689","second",2023-05-17,"warm","2W1","2W","1","orange","warm","two","Carolyn McKinnon",15,6,378,9,0,"In a kelp forest. 0 urchins.","100",37.8,"two_warm_100","warm_warm_100","warm_2W1","warm_1","warm_warm"
"690","second",2023-05-17,"warm","2W1","2W","1","orange","warm","two","Carolyn McKinnon",15,6,420,49,0,"In a kelp forest. 0 urchins.","100",42,"two_warm_100","warm_warm_100","warm_2W1","warm_1","warm_warm"
"691","second",2023-05-17,"warm","2W1","2W","1","orange","warm","two","Carolyn McKinnon",15,6,454,13,0,"In a kelp forest. 0 urchins.","100",45.4,"two_warm_100","warm_warm_100","warm_2W1","warm_1","warm_warm"
"692","second",2023-05-17,"warm","2W1","2W","1","orange","warm","two","Carolyn McKinnon",15,6,728,42,0,"In a kelp forest. 0 urchins.","100",72.8,"two_warm_100","warm_warm_100","warm_2W1","warm_1","warm_warm"
"694","second",2023-05-17,"warm","10C2","10C","2","green","cool","ten","Clay Steell",15,11,320,NA,0,"1 large agarum","100",32,"ten_cool_100","warm_cool_100","warm_10C2","warm_2","warm_cool"
"695","second",2023-05-17,"warm","10C2","10C","2","green","cool","ten","Clay Steell",15,11,340,NA,0,"1 large agarum","100",34,"ten_cool_100","warm_cool_100","warm_10C2","warm_2","warm_cool"
"696","second",2023-05-17,"warm","10C2","10C","2","green","cool","ten","Clay Steell",15,11,390,NA,0,"1 large agarum","100",39,"ten_cool_100","warm_cool_100","warm_10C2","warm_2","warm_cool"
"697","second",2023-05-17,"warm","10C2","10C","2","green","cool","ten","Clay Steell",15,11,610,NA,0,"1 large agarum","100",61,"ten_cool_100","warm_cool_100","warm_10C2","warm_2","warm_cool"
"698","second",2023-05-17,"warm","10C2","10C","2","green","cool","ten","Clay Steell",15,11,820,NA,0,"1 large agarum","100",82,"ten_cool_100","warm_cool_100","warm_10C2","warm_2","warm_cool"
"699","second",2023-05-17,"warm","10W2","10W","2","red","warm","ten","Clay Steell",13,6,80,NA,0,"covered by macro bed","100",8,"ten_warm_100","warm_warm_100","warm_10W2","warm_2","warm_warm"
"700","second",2023-05-17,"warm","10W2","10W","2","red","warm","ten","Clay Steell",13,6,100,NA,0,"covered by macro bed","100",10,"ten_warm_100","warm_warm_100","warm_10W2","warm_2","warm_warm"
"701","second",2023-05-17,"warm","10W2","10W","2","red","warm","ten","Clay Steell",13,6,130,NA,0,"covered by macro bed","100",13,"ten_warm_100","warm_warm_100","warm_10W2","warm_2","warm_warm"
"702","second",2023-05-17,"warm","10W2","10W","2","red","warm","ten","Clay Steell",13,6,210,NA,0,"covered by macro bed","100",21,"ten_warm_100","warm_warm_100","warm_10W2","warm_2","warm_warm"
"703","second",2023-05-17,"warm","10W2","10W","2","red","warm","ten","Clay Steell",13,6,280,NA,0,"covered by macro bed","100",28,"ten_warm_100","warm_warm_100","warm_10W2","warm_2","warm_warm"
"704","second",2023-05-17,"warm","2C2","2C","2",NA,"cool","two","Lauren Dykman",14,10,250,NA,0,"","100",25,"two_cool_100","warm_cool_100","warm_2C2","warm_2","warm_cool"
"705","second",2023-05-17,"warm","2C2","2C","2",NA,"cool","two","Lauren Dykman",14,10,280,NA,0,"","100",28,"two_cool_100","warm_cool_100","warm_2C2","warm_2","warm_cool"
"706","second",2023-05-17,"warm","2C2","2C","2",NA,"cool","two","Lauren Dykman",14,10,300,NA,0,"","100",30,"two_cool_100","warm_cool_100","warm_2C2","warm_2","warm_cool"
"707","second",2023-05-17,"warm","2C2","2C","2",NA,"cool","two","Lauren Dykman",14,10,550,NA,0,"","100",55,"two_cool_100","warm_cool_100","warm_2C2","warm_2","warm_cool"
"708","second",2023-05-17,"warm","2C2","2C","2",NA,"cool","two","Lauren Dykman",14,10,570,NA,0,"","100",57,"two_cool_100","warm_cool_100","warm_2C2","warm_2","warm_cool"
"709","second",2023-05-17,"warm","2W2","2W","2","orange","warm","two","Lauren Dykman",12,10,300,25,0,"0 urchins.","100",30,"two_warm_100","warm_warm_100","warm_2W2","warm_2","warm_warm"
"710","second",2023-05-17,"warm","2W2","2W","2","orange","warm","two","Lauren Dykman",12,10,470,NA,0,"0 urchins.","100",47,"two_warm_100","warm_warm_100","warm_2W2","warm_2","warm_warm"
"711","second",2023-05-17,"warm","2W2","2W","2","orange","warm","two","Lauren Dykman",12,10,530,35,0,"0 urchins.","100",53,"two_warm_100","warm_warm_100","warm_2W2","warm_2","warm_warm"
"712","second",2023-05-17,"warm","2W2","2W","2","orange","warm","two","Lauren Dykman",12,10,550,28,0,"0 urchins.","100",55,"two_warm_100","warm_warm_100","warm_2W2","warm_2","warm_warm"
"713","second",2023-05-17,"warm","2W2","2W","2","orange","warm","two","Lauren Dykman",12,10,940,45,0,"0 urchins.","100",94,"two_warm_100","warm_warm_100","warm_2W2","warm_2","warm_warm"
"715","second",2023-05-17,"warm","10C3","10C","3","green","cool","ten","Carolyn McKinnon",8,1,NA,47,0,"0 urchins. 1 RIL + 1 BIL","100",NA,"ten_cool_100","warm_cool_100","warm_10C3","warm_3","warm_cool"
"716","second",2023-05-17,"warm","10C3","10C","3","green","cool","ten","Carolyn McKinnon",8,1,NA,NA,0,"0 urchins. 1 RIL + 1 BIL","100",NA,"ten_cool_100","warm_cool_100","warm_10C3","warm_3","warm_cool"
"717","second",2023-05-17,"warm","10C3","10C","3","green","cool","ten","Carolyn McKinnon",8,1,NA,NA,0,"0 urchins. 1 RIL + 1 BIL","100",NA,"ten_cool_100","warm_cool_100","warm_10C3","warm_3","warm_cool"
"718","second",2023-05-17,"warm","10C3","10C","3","green","cool","ten","Carolyn McKinnon",8,1,NA,NA,0,"0 urchins. 1 RIL + 1 BIL","100",NA,"ten_cool_100","warm_cool_100","warm_10C3","warm_3","warm_cool"
"719","second",2023-05-17,"warm","10C3","10C","3","green","cool","ten","Carolyn McKinnon",8,1,NA,NA,0,"0 urchins. 1 RIL + 1 BIL","100",NA,"ten_cool_100","warm_cool_100","warm_10C3","warm_3","warm_cool"
"720","second",2023-05-17,"warm","10W3","10W","3","red","warm","ten","Carolyn McKinnon",15,0,NA,NA,0,"","100",NA,"ten_warm_100","warm_warm_100","warm_10W3","warm_3","warm_warm"
"721","second",2023-05-17,"warm","10W3","10W","3","red","warm","ten","Carolyn McKinnon",15,0,NA,NA,0,"","100",NA,"ten_warm_100","warm_warm_100","warm_10W3","warm_3","warm_warm"
"722","second",2023-05-17,"warm","10W3","10W","3","red","warm","ten","Carolyn McKinnon",15,0,NA,NA,0,"","100",NA,"ten_warm_100","warm_warm_100","warm_10W3","warm_3","warm_warm"
"723","second",2023-05-17,"warm","10W3","10W","3","red","warm","ten","Carolyn McKinnon",15,0,NA,NA,0,"","100",NA,"ten_warm_100","warm_warm_100","warm_10W3","warm_3","warm_warm"
"724","second",2023-05-17,"warm","10W3","10W","3","red","warm","ten","Carolyn McKinnon",15,0,NA,NA,0,"","100",NA,"ten_warm_100","warm_warm_100","warm_10W3","warm_3","warm_warm"
"725","second",2023-05-17,"warm","2C3","2C","3","blue","cool","two","Clay Steell",8,2,240,NA,0,"1 large agarum","100",24,"two_cool_100","warm_cool_100","warm_2C3","warm_3","warm_cool"
"726","second",2023-05-17,"warm","2C3","2C","3","blue","cool","two","Clay Steell",8,2,320,NA,0,"1 large agarum","100",32,"two_cool_100","warm_cool_100","warm_2C3","warm_3","warm_cool"
"727","second",2023-05-17,"warm","2C3","2C","3","blue","cool","two","Clay Steell",8,2,NA,NA,0,"","100",NA,"two_cool_100","warm_cool_100","warm_2C3","warm_3","warm_cool"
"728","second",2023-05-17,"warm","2C3","2C","3","blue","cool","two","Clay Steell",8,2,NA,NA,0,"","100",NA,"two_cool_100","warm_cool_100","warm_2C3","warm_3","warm_cool"
"729","second",2023-05-17,"warm","2C3","2C","3","blue","cool","two","Clay Steell",8,2,NA,NA,0,"","100",NA,"two_cool_100","warm_cool_100","warm_2C3","warm_3","warm_cool"
"730","second",2023-05-17,"warm","2W3","2W","3","orange","warm","two","Clay Steell",13,1,16,NA,0,"3 agarum, turf algae","100",1.6,"two_warm_100","warm_warm_100","warm_2W3","warm_3","warm_warm"
"731","second",2023-05-17,"warm","2W3","2W","3","orange","warm","two","Clay Steell",13,1,NA,NA,0,"3 agarum, turf algae","100",NA,"two_warm_100","warm_warm_100","warm_2W3","warm_3","warm_warm"
"732","second",2023-05-17,"warm","2W3","2W","3","orange","warm","two","Clay Steell",13,1,NA,NA,0,"3 agarum, turf algae","100",NA,"two_warm_100","warm_warm_100","warm_2W3","warm_3","warm_warm"
"733","second",2023-05-17,"warm","2W3","2W","3","orange","warm","two","Clay Steell",13,1,NA,NA,0,"3 agarum, turf algae","100",NA,"two_warm_100","warm_warm_100","warm_2W3","warm_3","warm_warm"
"734","second",2023-05-17,"warm","2W3","2W","3","orange","warm","two","Clay Steell",13,1,NA,NA,0,"3 agarum, turf algae","100",NA,"two_warm_100","warm_warm_100","warm_2W3","warm_3","warm_warm"
"736","second",2023-05-17,"warm","10C4","10C","4","green","cool","ten","Lauren Dykman",11,5,230,NA,0,"","100",23,"ten_cool_100","warm_cool_100","warm_10C4","warm_4","warm_cool"
"737","second",2023-05-17,"warm","10C4","10C","4","green","cool","ten","Lauren Dykman",11,5,290,NA,0,"","100",29,"ten_cool_100","warm_cool_100","warm_10C4","warm_4","warm_cool"
"738","second",2023-05-17,"warm","10C4","10C","4","green","cool","ten","Lauren Dykman",11,5,346,NA,0,"","100",34.6,"ten_cool_100","warm_cool_100","warm_10C4","warm_4","warm_cool"
"739","second",2023-05-17,"warm","10C4","10C","4","green","cool","ten","Lauren Dykman",11,5,350,NA,0,"","100",35,"ten_cool_100","warm_cool_100","warm_10C4","warm_4","warm_cool"
"740","second",2023-05-17,"warm","10C4","10C","4","green","cool","ten","Lauren Dykman",11,5,390,NA,0,"","100",39,"ten_cool_100","warm_cool_100","warm_10C4","warm_4","warm_cool"
"741","second",2023-05-17,"warm","10W4","10W","4","red","warm","ten","Lauren Dykman",18,3,235,NA,0,"","100",23.5,"ten_warm_100","warm_warm_100","warm_10W4","warm_4","warm_warm"
"742","second",2023-05-17,"warm","10W4","10W","4","red","warm","ten","Lauren Dykman",18,3,440,NA,0,"bleached end","100",44,"ten_warm_100","warm_warm_100","warm_10W4","warm_4","warm_warm"
"743","second",2023-05-17,"warm","10W4","10W","4","red","warm","ten","Lauren Dykman",18,3,590,NA,0,"bleached end","100",59,"ten_warm_100","warm_warm_100","warm_10W4","warm_4","warm_warm"
"744","second",2023-05-17,"warm","10W4","10W","4","red","warm","ten","Lauren Dykman",18,3,NA,NA,0,"","100",NA,"ten_warm_100","warm_warm_100","warm_10W4","warm_4","warm_warm"
"745","second",2023-05-17,"warm","10W4","10W","4","red","warm","ten","Lauren Dykman",18,3,NA,NA,0,"","100",NA,"ten_warm_100","warm_warm_100","warm_10W4","warm_4","warm_warm"
"746","second",2023-05-19,"warm","2C4","2C","4","blue","cool","two","Clay Steell",16,3,75,NA,0,"0 urchin, macro cover","100",7.5,"two_cool_100","warm_cool_100","warm_2C4","warm_4","warm_cool"
"747","second",2023-05-19,"warm","2C4","2C","4","blue","cool","two","Clay Steell",16,3,80,NA,0,"0 urchin, macro cover","100",8,"two_cool_100","warm_cool_100","warm_2C4","warm_4","warm_cool"
"748","second",2023-05-19,"warm","2C4","2C","4","blue","cool","two","Clay Steell",16,3,95,NA,0,"0 urchin, macro cover","100",9.5,"two_cool_100","warm_cool_100","warm_2C4","warm_4","warm_cool"
"749","second",2023-05-19,"warm","2C4","2C","4","blue","cool","two","Clay Steell",16,3,NA,NA,0,"0 urchin, macro cover","100",NA,"two_cool_100","warm_cool_100","warm_2C4","warm_4","warm_cool"
"750","second",2023-05-19,"warm","2C4","2C","4","blue","cool","two","Clay Steell",16,3,NA,NA,0,"0 urchin, macro cover","100",NA,"two_cool_100","warm_cool_100","warm_2C4","warm_4","warm_cool"
"751","second",2023-05-19,"warm","2W4","2W","4","orange","warm","two","Clay Steell",11,0,NA,NA,0,"0 urchin, macro cover","100",NA,"two_warm_100","warm_warm_100","warm_2W4","warm_4","warm_warm"
"752","second",2023-05-19,"warm","2W4","2W","4","orange","warm","two","Clay Steell",11,0,NA,NA,0,"0 urchin, macro cover","100",NA,"two_warm_100","warm_warm_100","warm_2W4","warm_4","warm_warm"
"753","second",2023-05-19,"warm","2W4","2W","4","orange","warm","two","Clay Steell",11,0,NA,NA,0,"0 urchin, macro cover","100",NA,"two_warm_100","warm_warm_100","warm_2W4","warm_4","warm_warm"
"754","second",2023-05-19,"warm","2W4","2W","4","orange","warm","two","Clay Steell",11,0,NA,NA,0,"0 urchin, macro cover","100",NA,"two_warm_100","warm_warm_100","warm_2W4","warm_4","warm_warm"
"755","second",2023-05-19,"warm","2W4","2W","4","orange","warm","two","Clay Steell",11,0,NA,NA,0,"0 urchin, macro cover","100",NA,"two_warm_100","warm_warm_100","warm_2W4","warm_4","warm_warm"
"757","second",2023-05-17,"warm","10C5","10C","5","green","cool","ten","Clay Steell",14,0,NA,NA,0,"","100",NA,"ten_cool_100","warm_cool_100","warm_10C5","warm_5","warm_cool"
"758","second",2023-05-17,"warm","10C5","10C","5","green","cool","ten","Clay Steell",14,0,NA,NA,0,"","100",NA,"ten_cool_100","warm_cool_100","warm_10C5","warm_5","warm_cool"
"759","second",2023-05-17,"warm","10C5","10C","5","green","cool","ten","Clay Steell",14,0,NA,NA,0,"","100",NA,"ten_cool_100","warm_cool_100","warm_10C5","warm_5","warm_cool"
"760","second",2023-05-17,"warm","10C5","10C","5","green","cool","ten","Clay Steell",14,0,NA,NA,0,"","100",NA,"ten_cool_100","warm_cool_100","warm_10C5","warm_5","warm_cool"
"761","second",2023-05-17,"warm","10C5","10C","5","green","cool","ten","Clay Steell",14,0,NA,NA,0,"","100",NA,"ten_cool_100","warm_cool_100","warm_10C5","warm_5","warm_cool"
"762","second",2023-05-17,"warm","10W5","10W","5","red","warm","ten","Clay Steell",17,1,32,NA,0,"2 large agarum","100",3.2,"ten_warm_100","warm_warm_100","warm_10W5","warm_5","warm_warm"
"763","second",2023-05-17,"warm","10W5","10W","5","red","warm","ten","Clay Steell",17,1,NA,NA,0,"2 large agarum","100",NA,"ten_warm_100","warm_warm_100","warm_10W5","warm_5","warm_warm"
"764","second",2023-05-17,"warm","10W5","10W","5","red","warm","ten","Clay Steell",17,1,NA,NA,0,"2 large agarum","100",NA,"ten_warm_100","warm_warm_100","warm_10W5","warm_5","warm_warm"
"765","second",2023-05-17,"warm","10W5","10W","5","red","warm","ten","Clay Steell",17,1,NA,NA,0,"2 large agarum","100",NA,"ten_warm_100","warm_warm_100","warm_10W5","warm_5","warm_warm"
"766","second",2023-05-17,"warm","10W5","10W","5","red","warm","ten","Clay Steell",17,1,NA,NA,0,"2 large agarum","100",NA,"ten_warm_100","warm_warm_100","warm_10W5","warm_5","warm_warm"
"767","second",2023-05-17,"warm","2C5","2C","5","blue","cool","two","Clay Steell",16,3,70,NA,0,"2 agarum","100",7,"two_cool_100","warm_cool_100","warm_2C5","warm_5","warm_cool"
"768","second",2023-05-17,"warm","2C5","2C","5","blue","cool","two","Clay Steell",16,3,100,NA,0,"2 agarum","100",10,"two_cool_100","warm_cool_100","warm_2C5","warm_5","warm_cool"
"769","second",2023-05-17,"warm","2C5","2C","5","blue","cool","two","Clay Steell",16,3,360,NA,0,"2 agarum","100",36,"two_cool_100","warm_cool_100","warm_2C5","warm_5","warm_cool"
"770","second",2023-05-17,"warm","2C5","2C","5","blue","cool","two","Clay Steell",16,3,NA,NA,0,"2 agarum","100",NA,"two_cool_100","warm_cool_100","warm_2C5","warm_5","warm_cool"
"771","second",2023-05-17,"warm","2C5","2C","5","blue","cool","two","Clay Steell",16,3,NA,NA,0,"2 agarum","100",NA,"two_cool_100","warm_cool_100","warm_2C5","warm_5","warm_cool"
"772","second",2023-05-17,"warm","2W5","2W","5","orange","warm","two","Lauren Dykman",14,0,NA,NA,0,"2 bat star, 1 cucumber","100",NA,"two_warm_100","warm_warm_100","warm_2W5","warm_5","warm_warm"
"773","second",2023-05-17,"warm","2W5","2W","5","orange","warm","two","Lauren Dykman",14,0,NA,NA,0,"2 bat star, 1 cucumber","100",NA,"two_warm_100","warm_warm_100","warm_2W5","warm_5","warm_warm"
