monitoring_period,date,site,plot_id,treatment,replicate_number,tag_color,source_population,parent_number,observer,number_gravels_remaining,number_gravels_with_kelp,length_mm,holdfast_diameter_mm,urchins,notes
fourth,2023-08-29,Dixon,10W7,10W,7,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W7,10W,7,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W7,10W,7,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W7,10W,7,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W7,10W,7,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,2C7,2C,7,blue,cool,two,Lauren Dykman,NA,0,NA,NA,3,3 urchins
fourth,2023-08-29,Dixon,2C7,2C,7,blue,cool,two,Lauren Dykman,NA,0,NA,NA,3,3 urchins
fourth,2023-08-29,Dixon,2C7,2C,7,blue,cool,two,Lauren Dykman,NA,0,NA,NA,3,3 urchins
fourth,2023-08-29,Dixon,2C7,2C,7,blue,cool,two,Lauren Dykman,NA,0,NA,NA,3,3 urchins
fourth,2023-08-29,Dixon,2C7,2C,7,blue,cool,two,Lauren Dykman,NA,0,NA,NA,3,3 urchins
fourth,2023-08-29,Dixon,2W7,2W,7,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W7,2W,7,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W7,2W,7,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W7,2W,7,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W7,2W,7,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,C7,Control,7,yellow,NA,NA,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C8,10C,8,,cool,ten,Clay Steell,8,0,NA,NA,0,0 urchins; 2 tags dead
fourth,2023-08-29,Dixon,10C8,10C,8,,cool,ten,Clay Steell,8,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C8,10C,8,,cool,ten,Clay Steell,8,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C8,10C,8,,cool,ten,Clay Steell,8,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C8,10C,8,,cool,ten,Clay Steell,8,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W8,10W,8,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W8,10W,8,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W8,10W,8,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W8,10W,8,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W8,10W,8,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,2C8,2C,8,blue,cool,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2C8,2C,8,blue,cool,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2C8,2C,8,blue,cool,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2C8,2C,8,blue,cool,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2C8,2C,8,blue,cool,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W8,2W,8,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W8,2W,8,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W8,2W,8,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W8,2W,8,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W8,2W,8,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,C8,Control,8,yellow,NA,NA,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,10C1,10C,1,green,cool,ten,Lauren Dykman,NA,0,NA,NA,3,3 urchins
fourth,2023-08-28,Ed King,10C1,10C,1,green,cool,ten,Lauren Dykman,NA,0,NA,NA,3,3 urchins
fourth,2023-08-28,Ed King,10C1,10C,1,green,cool,ten,Lauren Dykman,NA,0,NA,NA,3,3 urchins
fourth,2023-08-28,Ed King,10C1,10C,1,green,cool,ten,Lauren Dykman,NA,0,NA,NA,3,3 urchins
fourth,2023-08-28,Ed King,10C1,10C,1,green,cool,ten,Lauren Dykman,NA,0,NA,NA,3,3 urchins
fourth,2023-08-28,Ed King,10W1,10W,1,red,warm,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins; 50% Desmarestia
fourth,2023-08-28,Ed King,10W1,10W,1,red,warm,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins; 50% Desmarestia
fourth,2023-08-28,Ed King,10W1,10W,1,red,warm,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins; 50% Desmarestia
fourth,2023-08-28,Ed King,10W1,10W,1,red,warm,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins; 50% Desmarestia
fourth,2023-08-28,Ed King,10W1,10W,1,red,warm,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins; 50% Desmarestia
fourth,2023-08-28,Ed King,2C1,2C,1,blue,cool,two,Lauren Dykman,7,2,360,40,0,not tagged; 0 urchins
fourth,2023-08-28,Ed King,2C1,2C,1,blue,cool,two,Lauren Dykman,7,2,2900,60,0,maybe not ours?
fourth,2023-08-28,Ed King,2C1,2C,1,blue,cool,two,Lauren Dykman,7,2,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2C1,2C,1,blue,cool,two,Lauren Dykman,7,2,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2C1,2C,1,blue,cool,two,Lauren Dykman,7,2,NA,NA,0,0 urchins; 2 tags dead
fourth,2023-08-28,Ed King,2W1,2W,1,orange,warm,two,Lauren Dykman,7,1,5300,110,0,"blade 0.9m, multiple individuals on one gravel, coiled in wild kelp"
fourth,2023-08-28,Ed King,2W1,2W,1,orange,warm,two,Lauren Dykman,7,1,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2W1,2W,1,orange,warm,two,Lauren Dykman,7,1,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2W1,2W,1,orange,warm,two,Lauren Dykman,7,1,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2W1,2W,1,orange,warm,two,Lauren Dykman,7,1,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,C1,Control,1,yellow,NA,NA,Lauren Dykman,NA,0,NA,NA,2,2 urchins; 25% Desmarestia
fourth,2023-08-28,Ed King,10C2,10C,2,green,cool,ten,Lauren Dykman,7,0,NA,NA,0,0 urchins; small white whelk
fourth,2023-08-28,Ed King,10C2,10C,2,green,cool,ten,Lauren Dykman,7,0,NA,NA,0,0 urchins; small white whelk; dead - Clay found label
fourth,2023-08-28,Ed King,10C2,10C,2,green,cool,ten,Lauren Dykman,7,0,NA,NA,0,0 urchins; small white whelk
fourth,2023-08-28,Ed King,10C2,10C,2,green,cool,ten,Lauren Dykman,7,0,NA,NA,0,0 urchins; small white whelk
fourth,2023-08-28,Ed King,10C2,10C,2,green,cool,ten,Lauren Dykman,7,0,NA,NA,0,0 urchins; small white whelk
fourth,2023-08-28,Ed King,10W2,10W,2,red,warm,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins; 10-100 small turbin snails
fourth,2023-08-28,Ed King,10W2,10W,2,red,warm,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins; 10-100 small turbin snails
fourth,2023-08-28,Ed King,10W2,10W,2,red,warm,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins; 10-100 small turbin snails
fourth,2023-08-28,Ed King,10W2,10W,2,red,warm,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins; 10-100 small turbin snails
fourth,2023-08-28,Ed King,10W2,10W,2,red,warm,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins; 10-100 small turbin snails
fourth,2023-08-28,Ed King,2C2,2C,2,blue,cool,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2C2,2C,2,blue,cool,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2C2,2C,2,blue,cool,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2C2,2C,2,blue,cool,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2C2,2C,2,blue,cool,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2W2,2W,2,orange,warm,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2W2,2W,2,orange,warm,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2W2,2W,2,orange,warm,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2W2,2W,2,orange,warm,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2W2,2W,2,orange,warm,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,C2,Control,2,yellow,NA,NA,Lauren Dykman,NA,0,NA,NA,2,2 urchins
fourth,2023-08-28,Ed King,10C3,10C,3,green,cool,ten,Lauren Dykman,NA,0,NA,NA,5,5 natural recruits bitten off; 0 urchins
fourth,2023-08-28,Ed King,10C3,10C,3,green,cool,ten,Lauren Dykman,NA,0,NA,NA,5,5 natural recruits bitten off; 0 urchins
fourth,2023-08-28,Ed King,10C3,10C,3,green,cool,ten,Lauren Dykman,NA,0,NA,NA,5,5 natural recruits bitten off; 0 urchins
fourth,2023-08-28,Ed King,10C3,10C,3,green,cool,ten,Lauren Dykman,NA,0,NA,NA,5,5 natural recruits bitten off; 0 urchins
fourth,2023-08-28,Ed King,10C3,10C,3,green,cool,ten,Lauren Dykman,NA,0,NA,NA,5,5 natural recruits bitten off; 0 urchins
fourth,2023-08-28,Ed King,10W3,10W,3,red,warm,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,10W3,10W,3,red,warm,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,10W3,10W,3,red,warm,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,10W3,10W,3,red,warm,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,10W3,10W,3,red,warm,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,2C3,2C,3,blue,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,2C3,2C,3,blue,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,2C3,2C,3,blue,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,2C3,2C,3,blue,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,2C3,2C,3,blue,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,2W3,2W,3,orange,warm,two,Lauren Dykman,12,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2W3,2W,3,orange,warm,two,Lauren Dykman,12,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2W3,2W,3,orange,warm,two,Lauren Dykman,12,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2W3,2W,3,orange,warm,two,Lauren Dykman,12,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2W3,2W,3,orange,warm,two,Lauren Dykman,12,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,C3,Control,3,yellow,NA,NA,Lauren Dykman,NA,0,NA,NA,0,0 urchins; 25% Desmarestia; Laminaria spp
fourth,2023-08-28,Ed King,10C4,10C,4,green,cool,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10C4,10C,4,green,cool,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10C4,10C,4,green,cool,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10C4,10C,4,green,cool,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10C4,10C,4,green,cool,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10W4,10W,4,red,warm,ten,Lauren Dykman,NA,0,NA,NA,17,17 urchins
fourth,2023-08-28,Ed King,10W4,10W,4,red,warm,ten,Lauren Dykman,NA,0,NA,NA,17,17 urchins
fourth,2023-08-28,Ed King,10W4,10W,4,red,warm,ten,Lauren Dykman,NA,0,NA,NA,17,17 urchins
fourth,2023-08-28,Ed King,10W4,10W,4,red,warm,ten,Lauren Dykman,NA,0,NA,NA,17,17 urchins
fourth,2023-08-28,Ed King,10W4,10W,4,red,warm,ten,Lauren Dykman,NA,0,NA,NA,17,17 urchins
fourth,2023-08-28,Ed King,C4,2C,4,yellow,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,C4,2C,4,yellow,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,C4,2C,4,yellow,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,C4,2C,4,yellow,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,C4,2C,4,yellow,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,2W4,2W,4,orange,warm,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2W4,2W,4,orange,warm,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2W4,2W,4,orange,warm,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2W4,2W,4,orange,warm,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2W4,2W,4,orange,warm,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2C4,Control,4,yellow,NA,NA,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,10C5,10C,5,green,cool,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins; 25% Desmarestia
fourth,2023-08-28,Ed King,10C5,10C,5,green,cool,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins; 25% Desmarestia
fourth,2023-08-28,Ed King,10C5,10C,5,green,cool,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins; 25% Desmarestia
fourth,2023-08-28,Ed King,10C5,10C,5,green,cool,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins; 25% Desmarestia
fourth,2023-08-28,Ed King,10C5,10C,5,green,cool,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins; 25% Desmarestia
fourth,2023-08-28,Ed King,10W5,10W,5,red,warm,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,10W5,10W,5,red,warm,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,10W5,10W,5,red,warm,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,10W5,10W,5,red,warm,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,10W5,10W,5,red,warm,ten,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,2C5,2C,5,blue,cool,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2C5,2C,5,blue,cool,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2C5,2C,5,blue,cool,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2C5,2C,5,blue,cool,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2C5,2C,5,blue,cool,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-28,Ed King,2W5,2W,5,orange,warm,two,Lauren Dykman,NA,0,NA,NA,8,8 urchins
fourth,2023-08-28,Ed King,2W5,2W,5,orange,warm,two,Lauren Dykman,NA,0,NA,NA,8,8 urchins
fourth,2023-08-28,Ed King,2W5,2W,5,orange,warm,two,Lauren Dykman,NA,0,NA,NA,8,8 urchins
fourth,2023-08-28,Ed King,2W5,2W,5,orange,warm,two,Lauren Dykman,NA,0,NA,NA,8,8 urchins
fourth,2023-08-28,Ed King,2W5,2W,5,orange,warm,two,Lauren Dykman,NA,0,NA,NA,8,8 urchins
fourth,2023-08-28,Ed King,C5,Control,5,yellow,NA,NA,Lauren Dykman,NA,0,NA,NA,4,4 urchins
fourth,2023-08-28,Ed King,10C6,10C,6,green,cool,ten,Lauren Dykman,NA,0,NA,NA,11,11 urchins
fourth,2023-08-28,Ed King,10C6,10C,6,green,cool,ten,Lauren Dykman,NA,0,NA,NA,11,11 urchins
fourth,2023-08-28,Ed King,10C6,10C,6,green,cool,ten,Lauren Dykman,NA,0,NA,NA,11,11 urchins
fourth,2023-08-28,Ed King,10C6,10C,6,green,cool,ten,Lauren Dykman,NA,0,NA,NA,11,11 urchins
fourth,2023-08-28,Ed King,10C6,10C,6,green,cool,ten,Lauren Dykman,NA,0,NA,NA,11,11 urchins
fourth,2023-08-28,Ed King,10W6,10W,6,red,warm,ten,Lauren Dykman,NA,0,NA,NA,9,9 urchins
fourth,2023-08-28,Ed King,10W6,10W,6,red,warm,ten,Lauren Dykman,NA,0,NA,NA,9,9 urchins
fourth,2023-08-28,Ed King,10W6,10W,6,red,warm,ten,Lauren Dykman,NA,0,NA,NA,9,9 urchins
fourth,2023-08-28,Ed King,10W6,10W,6,red,warm,ten,Lauren Dykman,NA,0,NA,NA,9,9 urchins
fourth,2023-08-28,Ed King,10W6,10W,6,red,warm,ten,Lauren Dykman,NA,0,NA,NA,9,9 urchins
fourth,2023-08-28,Ed King,2C6,2C,6,blue,cool,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2C6,2C,6,blue,cool,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2C6,2C,6,blue,cool,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2C6,2C,6,blue,cool,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2C6,2C,6,blue,cool,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2W6,2W,6,orange,warm,two,Lauren Dykman,NA,0,NA,NA,12,12 urchins
fourth,2023-08-28,Ed King,2W6,2W,6,orange,warm,two,Lauren Dykman,NA,0,NA,NA,12,12 urchins
fourth,2023-08-28,Ed King,2W6,2W,6,orange,warm,two,Lauren Dykman,NA,0,NA,NA,12,12 urchins
fourth,2023-08-28,Ed King,2W6,2W,6,orange,warm,two,Lauren Dykman,NA,0,NA,NA,12,12 urchins
fourth,2023-08-28,Ed King,2W6,2W,6,orange,warm,two,Lauren Dykman,NA,0,NA,NA,12,12 urchins
fourth,2023-08-28,Ed King,C6,Control,6,yellow,NA,NA,Lauren Dykman,NA,0,NA,NA,3,3 urchins
fourth,2023-08-28,Ed King,10C7,10C,7,green,cool,ten,Lauren Dykman,NA,0,NA,NA,11,11 urchins; 25% Desmarestia
fourth,2023-08-28,Ed King,10C7,10C,7,green,cool,ten,Lauren Dykman,NA,0,NA,NA,11,11 urchins; 25% Desmarestia
fourth,2023-08-28,Ed King,10C7,10C,7,green,cool,ten,Lauren Dykman,NA,0,NA,NA,11,11 urchins; 25% Desmarestia
fourth,2023-08-28,Ed King,10C7,10C,7,green,cool,ten,Lauren Dykman,NA,0,NA,NA,11,11 urchins; 25% Desmarestia
fourth,2023-08-28,Ed King,10C7,10C,7,green,cool,ten,Lauren Dykman,NA,0,NA,NA,11,11 urchins; 25% Desmarestia
fourth,2023-08-28,Ed King,10W7,10W,7,red,warm,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10W7,10W,7,red,warm,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10W7,10W,7,red,warm,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10W7,10W,7,red,warm,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10W7,10W,7,red,warm,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,2C7,2C,7,blue,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,2C7,2C,7,blue,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,2C7,2C,7,blue,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,2C7,2C,7,blue,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,2C7,2C,7,blue,cool,two,Lauren Dykman,NA,0,NA,NA,5,5 urchins
fourth,2023-08-28,Ed King,2W7,2W,7,orange,warm,two,Lauren Dykman,NA,0,NA,NA,1,1 urchin; lots of Desmarestia
fourth,2023-08-28,Ed King,2W7,2W,7,orange,warm,two,Lauren Dykman,NA,0,NA,NA,1,1 urchin; lots of Desmarestia
fourth,2023-08-28,Ed King,2W7,2W,7,orange,warm,two,Lauren Dykman,NA,0,NA,NA,1,1 urchin; lots of Desmarestia
fourth,2023-08-28,Ed King,2W7,2W,7,orange,warm,two,Lauren Dykman,NA,0,NA,NA,1,1 urchin; lots of Desmarestia
fourth,2023-08-28,Ed King,2W7,2W,7,orange,warm,two,Lauren Dykman,NA,0,NA,NA,1,1 urchin; lots of Desmarestia
fourth,2023-08-28,Ed King,C7,Control,7,yellow,NA,NA,Lauren Dykman,NA,0,NA,NA,8,8 urchins
fourth,2023-08-28,Ed King,10C8,10C,8,green,cool,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10C8,10C,8,green,cool,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10C8,10C,8,green,cool,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10C8,10C,8,green,cool,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10C8,10C,8,green,cool,ten,Lauren Dykman,NA,0,NA,NA,7,7 urchins
fourth,2023-08-28,Ed King,10W8,10W,8,red,warm,ten,Lauren Dykman,NA,0,NA,NA,2,2 urchins
fourth,2023-08-28,Ed King,10W8,10W,8,red,warm,ten,Lauren Dykman,NA,0,NA,NA,2,2 urchins
fourth,2023-08-28,Ed King,10W8,10W,8,red,warm,ten,Lauren Dykman,NA,0,NA,NA,2,2 urchins
fourth,2023-08-28,Ed King,10W8,10W,8,red,warm,ten,Lauren Dykman,NA,0,NA,NA,2,2 urchins
fourth,2023-08-28,Ed King,10W8,10W,8,red,warm,ten,Lauren Dykman,NA,0,NA,NA,2,2 urchins
fourth,2023-08-28,Ed King,2C8,2C,8,blue,cool,two,Lauren Dykman,NA,0,NA,NA,10,10 urchins
fourth,2023-08-28,Ed King,2C8,2C,8,blue,cool,two,Lauren Dykman,NA,0,NA,NA,10,10 urchins
fourth,2023-08-28,Ed King,2C8,2C,8,blue,cool,two,Lauren Dykman,NA,0,NA,NA,10,10 urchins
fourth,2023-08-28,Ed King,2C8,2C,8,blue,cool,two,Lauren Dykman,NA,0,NA,NA,10,10 urchins
fourth,2023-08-28,Ed King,2C8,2C,8,blue,cool,two,Lauren Dykman,NA,0,NA,NA,10,10 urchins
fourth,2023-08-28,Ed King,2W8,2W,8,orange,warm,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2W8,2W,8,orange,warm,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2W8,2W,8,orange,warm,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2W8,2W,8,orange,warm,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,2W8,2W,8,orange,warm,two,Lauren Dykman,NA,0,NA,NA,6,6 urchins
fourth,2023-08-28,Ed King,C8,Control,8,,NA,NA,Lauren Dykman,NA,0,NA,NA,4,4 urchins
second,2023-05-17,Dixon,10C1,10C,1,green,cool,ten,Lauren Dykman,17,7,65,NA,0,0 urchins. One outside plot moved back in.
second,2023-05-17,Dixon,10C1,10C,1,green,cool,ten,Lauren Dykman,17,7,80,12,0,0 urchins. One outside plot moved back in.
second,2023-05-17,Dixon,10C1,10C,1,green,cool,ten,Lauren Dykman,17,7,110,8,0,0 urchins. One outside plot moved back in.
second,2023-05-17,Dixon,10C1,10C,1,green,cool,ten,Lauren Dykman,17,7,395,25,0,0 urchins. One outside plot moved back in.
second,2023-05-17,Dixon,10C1,10C,1,green,cool,ten,Lauren Dykman,17,7,560,50,0,0 urchins. One outside plot moved back in.
second,2023-05-17,Dixon,10W1,10W,1,red,warm,ten,Lauren Dykman,13,2,480,NA,0,
second,2023-05-17,Dixon,10W1,10W,1,red,warm,ten,Lauren Dykman,13,2,490,NA,0,
second,2023-05-17,Dixon,10W1,10W,1,red,warm,ten,Lauren Dykman,13,2,NA,NA,0,
second,2023-05-17,Dixon,10W1,10W,1,red,warm,ten,Lauren Dykman,13,2,NA,NA,0,
second,2023-05-17,Dixon,10W1,10W,1,red,warm,ten,Lauren Dykman,13,2,NA,NA,0,
second,2023-05-17,Dixon,2C1,2C,1,blue,cool,two,Carolyn McKinnon,16,1,973,56,0,0 urchins.
second,2023-05-17,Dixon,2C1,2C,1,blue,cool,two,Carolyn McKinnon,16,1,NA,NA,0,0 urchins.
second,2023-05-17,Dixon,2C1,2C,1,blue,cool,two,Carolyn McKinnon,16,1,NA,NA,0,0 urchins.
second,2023-05-17,Dixon,2C1,2C,1,blue,cool,two,Carolyn McKinnon,16,1,NA,NA,0,0 urchins.
second,2023-05-17,Dixon,2C1,2C,1,blue,cool,two,Carolyn McKinnon,16,1,NA,NA,0,0 urchins.
second,2023-05-17,Dixon,2W1,2W,1,orange,warm,two,Carolyn McKinnon,15,6,317,15,0,In a kelp forest. 0 urchins.
